THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
921,808,828,16052,3680,-4476,1
920,810,828,16748,3100,-5491,1
922,810,828,16749,3100,-5493,1
920,812,830,16748,3099,-5492,1
921,810,828,16747,3099,-5491,1
921,811,828,16748,3101,-5491,1
920,811,829,16748,3100,-5492,1
921,811,830,16747,3100,-5491,1
920,811,829,16748,3100,-5491,1
921,810,828,16749,3101,-5491,1
922,811,828,16748,3100,-5492,1
920,811,829,16747,3101,-5492,1
921,811,830,16747,3100,-5492,1
921,810,828,16748,3100,-5492,1
920,811,829,16749,3101,-5493,1
921,812,830,16747,3101,-5491,1
922,811,830,16747,3101,-5493,1
920,810,828,16747,3099,-5493,1
922,812,830,16749,3100,-5493,1
920,812,830,16747,3100,-5491,1
921,812,830,16747,3099,-5493,1
921,810,829,16747,3101,-5491,1
920,811,829,16749,3099,-5491,1
922,811,829,16749,3099,-5493,1
921,810,829,16748,3099,-5492,1
922,810,829,16747,3099,-5493,1
921,811,830,16748,3101,-5491,1
921,812,829,16749,3100,-5493,1
921,810,830,16748,3101,-5491,1
922,810,828,16749,3101,-5493,1
920,810,830,16749,3100,-5491,1
921,812,830,16747,3101,-5493,1
921,810,829,16749,3101,-5493,1
922,810,830,16749,3101,-5492,1
921,812,828,16747,3101,-5492,1
921,812,830,16749,3101,-5492,1
921,812,828,16747,3100,-5493,1
922,811,829,16747,3101,-5491,1
921,811,830,16748,3100,-5493,1
921,810,830,16748,3100,-5492,1
922,811,828,16748,3099,-5491,1
922,812,828,16748,3099,-5492,1
922,812,830,16749,3099,-5491,1
921,811,829,16749,3100,-5493,1
920,811,830,16749,3100,-5491,1
921,810,830,16747,3100,-5492,1
922,812,830,16747,3101,-5493,1
921,811,828,16748,3101,-5493,1
922,812,828,16748,3099,-5491,1
921,810,828,16748,3101,-5491,1
921,812,830,16747,3099,-5493,1
922,811,829,16749,3101,-5491,1
920,811,828,16747,3099,-5493,1
920,811,830,16747,3099,-5493,1
920,812,829,16748,3100,-5491,1
922,810,830,16748,3101,-5493,1
921,812,829,16748,3101,-5491,1
922,812,828,16748,3101,-5492,1
922,812,830,16749,3099,-5491,1
921,810,829,16749,3099,-5491,1
922,811,829,16749,3100,-5492,1
920,811,830,16747,3099,-5493,1
921,811,828,16749,3099,-5493,1
922,811,830,16748,3100,-5491,1
922,812,828,16749,3099,-5493,1
922,812,831,16125,3364,-4135,1
920,812,830,16123,3364,-4135,1
922,810,831,16124,3363,-4135,1
920,812,831,16124,3364,-4136,1
921,810,830,16124,3363,-4135,1
921,811,831,16124,3364,-4137,1
920,812,830,16124,3365,-4135,1
921,812,829,16123,3364,-4137,1
