THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
845,838,16004,-3980,-1112,26,1
902,846,838,16320,-3664,-1540,1
902,847,840,15372,-5024,5220,1
903,849,840,15140,-2544,5936,1
902,849,841,15816,-5656,5428,1
903,849,840,15904,-4060,6220,1
903,849,840,15768,-3700,4208,1
904,850,841,15816,-2492,5364,1
903,849,841,16064,-3284,5252,1
903,849,840,16216,-2888,5068,1
903,848,840,16476,-2772,4348,1
903,849,840,16404,-2240,4152,1
902,849,841,16476,-2432,4568,1
902,849,840,16276,-2340,4628,1
902,849,840,16220,-2448,4756,1
902,849,840,15980,-2288,4916,1
902,848,840,16128,-2104,5020,1
902,849,840,17264,-1968,3064,1
902,849,841,16796,-860,3944,1
903,847,840,16644,-340,3864,1
902,837,827,18000,-1228,3148,1
901,831,815,14764,-336,4700,1
903,836,821,14612,-2452,3016,1
896,847,829,17976,-4988,3556,1
906,841,827,17420,-4020,2192,1
893,845,832,16568,-3904,1756,1
897,846,833,16376,-4368,3716,1
899,846,833,16824,-4180,3824,1
897,846,834,15600,4240,4052,1
898,847,834,15728,784,3268,1
896,845,833,16268,-1744,3400,1
896,844,833,12584,-17168,3096,1
897,845,832,16092,-5024,4196,1
899,845,833,15928,-7564,6108,1
899,844,833,17628,-2200,2528,1
897,844,834,16372,-1652,4448,1
898,844,834,17060,-3996,2860,1
898,845,834,15920,-5072,4972,1
899,845,834,16064,-6828,7248,1
900,844,834,16928,916,4116,1
899,844,835,17028,-736,3252,1
897,845,835,22372,-404,4684,1
898,846,835,14572,-396,-4404,1
898,846,835,13604,-1596,-8052,1
899,846,836,17148,620,-2596,1
899,846,836,16788,-2588,-1992,1
897,847,835,20300,2412,8660,1
898,847,835,17596,616,3424,1
897,848,836,16620,-3052,6392,1
897,847,836,15148,-11936,6752,1
897,847,836,14308,-1976,2528,1
898,847,836,14328,-2816,-5960,1
899,847,837,15808,-644,-1848,1
898,846,836,16716,-4604,180,1
904,849,836,15620,-2228,-72,1
900,850,837,12084,4548,-12344,1
905,851,836,16684,-8492,6492,1
906,852,837,13348,-2584,8768,1
905,852,837,14780,-1864,7940,1
902,850,837,20080,-6696,7864,1
902,850,836,16596,-4316,5332,1
894,830,820,16896,-4580,1696,1
899,832,820,14016,-5324,2932,1
901,834,821,16840,-2804,1084,1
900,833,824,10136,-5556,-1264,1
898,834,824,17440,-11484,6988,1
900,835,825,17664,-5536,4812,1
898,839,830,18116,-3632,2628,1
900,848,839,17292,-5236,1984,1
900,849,838,15280,-5404,4280,1
896,850,839,16072,-5460,4368,1
900,850,838,15736,-7800,3180,1
900,852,838,17472,-3688,4400,1
896,853,838,15696,-1436,2452,1
897,852,838,16480,-1972,5560,1
896,852,838,15900,-6732,5212,1
898,852,838,15092,6684,4124,1
898,853,838,15704,-3016,7100,1
900,851,838,16232,-12,3908,1
897,851,838,16248,-2880,1260,1
897,852,838,16952,-444,4352,1
898,851,838,15696,820,6000,1
897,831,828,14300,-3960,3144,1
898,829,824,13636,-1236,2536,1
898,830,826,16804,-1900,5016,1
898,832,828,14808,-7412,8200,1
898,834,830,18364,32,8608,1
898,837,831,16632,-1720,2508,1
897,837,831,16512,-396,6204,1
897,836,831,15632,-4988,7264,1
896,837,832,16072,-5016,2856,1
896,839,833,13692,-16060,5252,1
897,840,834,16076,-748,6348,1
897,838,834,2824,-9596,-16212,1
897,839,834,3256,-3756,-14016,1
896,839,834,692,-2428,-14188,1
897,840,834,15876,-4740,1068,1
898,841,834,17072,-664,5224,1
888,847,841,16056,-6252,1544,1
892,846,840,15360,-3908,2476,1
901,846,841,13888,-6924,1272,1
902,845,841,14988,-3276,3640,1
905,846,841,15132,-7124,5264,1
902,852,843,13552,-6568,5588,1
901,852,843,14932,-6488,4436,1
896,853,843,13808,-3752,3692,1
903,852,843,14800,-5168,5756,1
902,852,843,17012,-2520,4144,1
903,852,842,13868,-664,7624,1
902,852,842,16716,1236,4972,1
903,852,842,17048,-4812,2892,1
899,845,838,14052,-1780,2736,1
