THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
666,732,700,15120,-736,6704,1
666,732,701,15208,-1344,6440,1
665,732,701,15264,-1724,6492,1
665,732,701,15444,-996,6540,1
665,732,701,15536,-1216,6436,1
665,732,701,15112,-796,6268,1
665,731,701,15224,-1096,6504,1
665,732,701,15140,-1104,6692,1
665,732,701,15104,-788,6384,1
665,732,701,15388,-972,5668,1
665,732,701,15176,-844,6676,1
665,732,701,15208,-1060,6488,1
665,732,701,15256,-876,6524,1
665,732,701,15244,-1040,6172,1
665,732,701,15228,-920,6552,1
665,732,701,15212,-1284,6592,1
665,731,701,15388,-1240,7084,1
665,732,701,15072,-1040,6132,1
665,732,702,15380,-1012,6180,1
665,732,702,15200,-1272,6900,1
665,732,702,14912,-1868,6008,1
665,732,702,15452,-1468,6272,1
665,732,701,15216,-892,6284,1
665,732,701,15284,-1200,6620,1
665,732,701,15348,-1264,6712,1
665,732,701,15136,-1144,6392,1
665,732,701,15152,-1088,6372,1
665,732,700,15080,-1616,6392,1
669,733,701,15148,-2600,5924,1
667,733,701,15584,-2152,5368,1
666,733,701,15576,-2168,5012,1
666,733,701,15404,-2284,4944,1
665,733,701,15192,-1676,5088,1
666,733,701,15196,-1260,5588,1
673,733,703,15740,-644,5648,1
669,733,703,15196,-200,6184,1
669,733,702,15252,-916,6652,1
669,733,702,15088,-692,6504,1
668,733,701,15084,-1504,6840,1
667,733,701,14340,-1816,7080,1
665,733,701,15108,-2088,6800,1
665,733,701,14648,-1676,7160,1
665,733,700,14568,-640,7188,1
666,732,702,14572,-64,7468,1
666,732,701,13844,1008,8808,1
671,732,702,13284,1300,8720,1
664,732,701,13960,1220,8960,1
668,732,701,13212,3640,10080,1
666,732,703,13788,808,8716,1
666,732,700,13148,1256,10048,1
666,732,701,12544,1464,10320,1
666,732,701,12148,2184,8908,1
666,732,702,12908,2092,10328,1
665,732,702,12348,3176,9768,1
666,732,704,12380,2660,9568,1
665,732,703,12860,2260,10660,1
665,732,705,12008,1128,10680,1
666,732,705,12208,860,10860,1
666,732,702,12532,1172,10468,1
665,732,703,13412,436,9320,1
664,732,702,14088,276,9128,1
665,733,701,13900,-184,8160,1
664,733,701,14484,-124,7908,1
665,733,701,14664,80,7640,1
665,733,702,14832,140,7152,1
665,733,702,14856,-340,6700,1
665,733,702,15224,-232,6308,1
665,733,702,15404,-24,6520,1
665,733,702,14980,-312,5640,1
667,733,703,15356,-676,6012,1
666,733,703,15188,-1108,5984,1
663,734,702,15124,-2232,6376,1
662,733,702,15368,-2544,6460,1
665,733,703,15452,-2312,5852,1
667,733,703,15352,-2692,5352,1
667,733,704,15860,-2912,5228,1
662,734,702,15812,-2732,4720,1
662,734,702,15836,-2692,4924,1
662,734,702,15148,-2840,5364,1
662,734,701,15344,-3424,6160,1
662,734,702,15176,-2904,6388,1
662,734,702,14728,-3152,6756,1
663,734,702,14788,-2488,7396,1
663,734,702,14540,-2372,7900,1
663,733,702,14468,-2720,8044,1
663,733,702,14628,-2296,7812,1
663,733,702,14116,-2392,8020,1
663,733,702,14176,-2392,7696,1
663,733,702,14324,-1924,7916,1
663,733,702,14172,-1944,8296,1
663,733,701,14352,-1812,7788,1
663,733,712,14304,-1712,8020,1
663,733,712,14268,-1744,8040,1
663,733,696,14124,-1576,7500,1
663,733,704,14236,-1732,8000,1
663,733,698,14344,-1876,7664,1
663,733,694,14760,-1792,7452,1
663,733,697,14572,-1664,7456,1
662,733,697,14684,-1228,7664,1
663,734,699,14704,-1168,7200,1
663,733,700,14808,-1088,7348,1
663,733,700,14552,-1012,7920,1
663,733,701,14240,-788,8612,1
663,733,701,13776,-556,8872,1
663,733,701,13616,-4,9676,1
663,734,701,13052,-296,10052,1
663,733,701,12624,-704,10228,1
663,734,701,12268,-1232,10088,1
663,734,702,12060,-2468,11316,1
663,734,701,8736,-2308,12556,1
663,734,697,8124,-1200,14716,1
662,734,688,5804,-1388,14240,1
662,735,684,4844,-1508,15108,1
662,735,690,3588,-2076,15144,1
662,734,693,2736,-3280,15524,1
662,735,695,2376,-3724,15204,1
662,734,696,1844,-3928,15164,1
662,735,697,1636,-4264,15244,1
662,734,697,1512,-4432,14976,1
662,735,697,1384,-4588,14996,1
662,734,698,1412,-4848,15028,1
662,734,698,1112,-4784,15048,1
662,734,699,1156,-4568,15124,1
662,734,699,1456,-4404,15048,1
662,734,699,1876,-4388,15644,1
662,734,699,1380,-4104,15400,1
662,734,700,1552,-4164,15500,1
662,734,705,2736,-3804,15332,1
663,734,709,4260,-3888,14956,1
663,734,707,5680,-3884,14456,1
663,734,705,6504,-4204,14572,1
663,734,704,6924,-4520,13944,1
663,734,703,7436,-4928,13736,1
663,734,702,9552,-4924,12940,1
663,734,703,9924,-4280,11808,1
663,734,702,10880,-4600,10964,1
663,734,701,11460,-5328,10616,1
663,734,701,12164,-6072,9108,1
663,734,700,13064,-5904,7620,1
663,734,700,14140,-6400,7388,1
663,734,700,14212,-5840,6264,1
663,734,700,14808,-5940,5232,1
663,734,700,14764,-5368,5500,1
663,734,701,14928,-6080,4812,1
