THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
666,869,826,15556,-4936,3768,19
659,768,730,15228,-5440,3708,24
656,741,706,13220,-2400,9116,12
661,807,746,10260,-2964,12240,14
652,806,774,15668,1188,5928,26
661,808,754,7580,6180,12596,14
666,860,829,14972,588,7500,8
659,767,730,15568,-980,5668,24
660,769,732,16608,-2132,1820,24
639,791,776,13952,-5824,5556,22
641,809,781,16352,-4872,2600,20
643,709,705,14820,764,7608,21
664,814,787,15600,224,8228,15
639,751,723,9644,-10048,8176,10
654,718,684,3712,2300,15764,5
641,785,771,13364,-5576,7128,23
662,737,704,15572,-2368,4260,1
642,704,698,15036,-5328,4996,21
667,864,817,13260,-2940,9532,8
639,831,774,-3388,-14772,6540,6
642,778,765,12360,-4320,10692,23
664,865,824,12792,-1760,9588,19
640,753,718,6304,5296,13744,10
658,770,753,14356,-4260,6340,24
662,804,752,12604,-2332,9484,14
652,801,769,14596,512,7648,26
639,753,722,3180,-868,15764,10
647,784,744,13272,172,9496,4
659,774,742,14404,-6812,4732,16
640,784,739,12572,-1140,9904,9
647,785,753,15388,-3232,6620,4
640,784,739,13320,-10188,1652,9
661,753,732,14268,1264,8556,25
662,764,744,9160,-2732,13760,25
664,817,777,16568,-1584,3292,15
639,828,775,-1940,-15580,4756,6
640,805,775,13840,-4588,7216,20
644,839,784,13660,-5768,6952,3
644,848,790,14768,-1180,7568,3
644,777,808,13724,1296,9112,9
641,720,709,15336,-4276,5816,21
638,854,803,14932,-1224,7772,13
663,816,775,15680,-4552,5948,14
658,765,751,15220,-6144,3460,24
648,785,744,11372,436,11708,4
640,834,777,-5852,-13588,5208,6
640,809,776,15172,4996,4668,20
640,714,704,16020,2400,4248,21
666,865,820,15672,-3792,4228,8
642,816,789,13068,-10176,-824,20
649,781,746,11216,-2616,11472,4
666,769,743,12804,92,10100,7
644,757,769,8432,5676,-16052,18
639,847,794,1772,-11608,10336,13
662,817,789,15240,-1688,6152,15
647,784,740,13376,-5748,7560,4
640,782,738,14616,2480,8296,9
642,721,711,14512,-3728,6924,21
667,861,819,16512,2528,2908,8
640,751,721,14244,-948,8800,10
642,720,708,12908,-4644,8544,21
645,847,788,8920,-5208,12480,3
644,842,783,5556,2984,14944,3
640,805,775,14136,-4100,7196,20
641,837,781,-2788,-14612,6636,6
640,805,762,13704,-2604,8548,20
645,846,786,3680,4644,14736,3
640,806,761,15996,-972,2716,20
658,746,712,14528,-1164,6992,12
662,866,823,12136,-6872,9312,19
640,783,767,13984,-3004,7900,23
661,809,764,11448,-3396,10604,14
643,780,773,12312,3916,9592,22
640,782,738,13700,3420,8868,9
663,733,694,14760,-1792,7452,1
640,784,739,15552,-6496,1092,9
640,781,738,15576,788,7796,9
640,782,738,16456,-476,3896,9
661,806,752,10848,-6764,9808,14
639,849,799,12084,-5476,8396,13
640,809,759,16024,-1212,6208,9
638,846,796,8948,-6836,12280,13
658,772,757,12360,-7664,7716,24
643,756,773,10776,4244,-13588,18
645,846,787,3244,-4720,15160,3
640,784,740,15064,-400,3128,9
659,769,732,14496,-3236,7480,24
653,721,688,5536,11836,9424,5
640,784,739,14640,48,8876,9
647,785,752,15024,4652,5012,4
641,847,800,16040,-2356,8452,13
661,807,757,-2180,5932,14956,14
668,864,817,14696,-3076,6012,8
666,862,875,13304,-3352,8364,11
639,847,799,10148,-5976,11912,13
659,766,728,14508,132,8304,24
647,808,828,15256,-2960,6220,22
665,732,701,15444,-996,6540,1
644,758,772,7404,3688,-15924,18
640,808,779,15016,-476,6712,20
643,756,768,6528,6256,-15472,18
662,815,792,18136,-1784,4980,15
643,763,727,14460,-372,7832,23
638,853,795,60,-3608,15652,13
670,863,813,15204,-3468,4236,8
642,786,775,14904,-5464,3716,23
639,754,716,15380,752,6624,10
662,737,708,14564,-6752,5348,1
666,767,740,14764,76,7252,7
668,861,826,15928,-1880,4320,8
640,790,776,13644,-3140,8768,22
640,747,715,14224,-872,8156,10
641,753,718,5700,15356,2684,10
643,797,754,15120,-2004,6760,22
639,747,718,15896,-2524,3832,10
641,814,786,16120,-5664,1372,20
663,733,702,14324,-1924,7916,1
663,813,788,16476,1408,3832,15
640,782,738,15636,244,5300,9
643,756,767,9784,5272,-15080,18
660,749,718,15260,-1248,6648,25
642,763,728,14168,-4480,6896,23
648,784,744,10324,-4720,10584,4
662,739,706,13904,-1132,9336,1
644,838,783,16024,-3808,4356,3
647,782,747,14192,-2432,7928,4
667,859,822,16056,-1532,5420,8
663,752,733,13268,-100,8684,25
666,859,822,12212,-7520,8168,8
664,772,744,13336,-2480,9420,7
660,779,745,12368,-10688,4104,16
655,777,742,11992,-5220,10608,16
667,866,839,13284,-6004,7796,11
648,781,746,13228,1316,9772,4
642,780,772,8848,6540,11816,22
637,743,718,15064,-4600,6024,10
667,859,827,14548,-2344,7232,8
661,737,697,13936,6480,7012,1
658,749,713,14648,-6464,4044,12
640,808,758,13136,-3472,8088,9
647,785,752,14012,-2220,9092,4
641,780,775,4276,15180,4164,22
641,814,786,15060,-2628,6876,20
656,788,742,5504,6184,-16156,2
650,781,744,14624,1128,8116,4
647,786,752,14484,-992,8572,4
662,738,705,14044,-3868,8064,1
642,721,713,14872,-2280,7444,21
