THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
917,912,864,16133,-1289,-5583,7
868,841,850,16416,2720,-6537,3
867,918,918,6943,-13205,-6632,8
880,805,916,17141,365,-3525,6
921,916,864,16583,-1251,-4957,7
853,914,917,15131,2392,-5244,2
902,911,862,18184,2423,-2968,4
852,824,916,18285,-311,-4669,6
876,799,848,16477,2399,-6479,5
829,836,916,15929,745,-1843,6
899,864,862,17307,1972,-5975,3
867,834,858,16805,1787,-4003,5
921,916,865,16583,-1251,-4957,7
866,918,917,15381,4760,-2781,2
920,915,866,16976,-865,-5907,7
829,835,916,17785,-893,-3469,6
870,915,854,16189,3267,-6128,4
891,860,863,15448,4795,-6716,3
918,915,865,17168,-1103,-5732,7
867,844,854,16311,2621,-5533,3
919,813,830,16771,3161,-5815,1
882,805,917,17139,363,-3524,6
851,826,916,18283,-311,-4667,6
918,914,864,16131,-1287,-5584,7
920,809,828,16112,3596,-4760,1
820,833,915,16261,-703,-1929,6
864,917,919,17201,1293,-3547,2
851,822,856,14628,2177,-4037,5
920,810,830,15975,3197,-4375,1
902,911,864,18184,2425,-2969,4
821,833,915,16259,-704,-1928,6
865,918,919,15380,4761,-2781,2
882,803,916,17987,120,-2228,6
842,918,900,15611,1573,-4461,2
919,913,863,17068,-1417,-5319,7
837,837,915,18296,-188,-3272,6
863,916,918,16236,2291,-965,2
852,910,913,15915,3492,-6345,2
835,819,848,16212,4820,-4853,5
874,850,860,12064,-6821,-4256,3
868,843,852,15659,3084,-6307,3
922,809,827,16297,3049,-6219,1
852,918,918,16039,-1791,-3743,2
831,821,855,16692,884,-5003,5
876,856,861,14189,793,-10276,3
870,918,917,7693,-13287,-6343,8
828,836,916,15928,745,-1844,6
876,858,859,14188,792,-10276,3
889,899,886,17788,533,-5013,2
876,916,860,17495,1531,-5307,4
840,819,854,16444,-1123,-5981,5
880,917,863,14863,3251,-7257,4
888,916,880,16104,4015,-6076,4
869,846,857,16229,3612,-5692,3
865,814,850,15901,3024,-5716,5
868,918,918,7257,-12904,-5779,8
868,846,859,16228,3613,-5692,3
850,821,855,14628,2175,-4036,5
852,914,918,15133,2392,-5243,2
878,798,848,16475,2401,-6479,5
867,916,918,15381,4759,-2781,2
922,812,830,16123,3365,-4137,1
882,807,915,17140,365,-3523,6
840,836,916,16916,472,-1509,6
920,915,862,17067,-1417,-5320,7
868,917,918,6944,-13203,-6631,8
860,917,918,18608,1767,-1003,2
870,919,916,8145,-11891,-6244,8
848,917,919,16035,71,-6459,2
902,877,898,19223,537,-4553,5
884,803,918,17988,119,-2228,6
888,899,887,17788,533,-5011,2
898,824,876,15673,1197,-4360,5
871,916,854,16188,3268,-6128,4
857,844,917,17167,1452,-363,6
824,821,851,10963,4051,-12741,5
903,911,863,18184,2424,-2968,4
879,862,858,15213,2257,-6767,3
884,915,870,17377,3335,-4273,4
867,919,917,7665,-13069,-6055,8
918,913,863,17069,-1416,-5321,7
869,919,917,7257,-12904,-5779,8
831,836,915,17785,-892,-3468,6
874,851,860,15017,-5127,-7939,3
853,914,918,15133,2392,-5243,2
878,916,860,17497,1532,-5308,4
824,820,852,10964,4052,-12741,5
922,812,829,16125,3364,-4135,1
878,799,847,16475,2400,-6479,5
848,917,918,16035,72,-6459,2
918,914,861,17401,-1644,-5745,7
825,820,852,10965,4052,-12741,5
833,819,854,15135,1997,-6292,5
