THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
921,808,828,16052,3680,-4476,1
921,809,827,16112,3596,-4760,1
921,809,828,16296,3048,-6220,1
921,810,829,15976,3196,-4376,1
921,810,829,16344,3292,-4980,1
921,811,829,16748,3100,-5492,1
921,811,830,16124,3364,-4136,1
920,812,830,16772,3160,-5816,1
921,812,830,16392,3144,-4408,1
889,899,887,17788,532,-5012,2
842,917,900,15612,1572,-4460,2
847,917,903,18072,684,-5724,2
853,918,903,16840,700,-6644,2
856,918,904,16500,2160,-7616,2
857,917,920,16892,316,-7568,2
859,917,919,15752,456,-7180,2
862,917,918,17256,1836,-2064,2
863,917,918,17200,1292,-3548,2
862,917,918,16236,2292,-964,2
861,917,918,18608,1768,-1004,2
862,917,918,16452,3180,-1304,2
862,917,918,17940,1816,308,2
860,917,918,17628,1228,-200,2
866,917,918,15380,4760,-2780,2
853,917,917,16040,-1792,-3744,2
849,917,918,16036,72,-6460,2
857,916,918,12852,7020,-10596,2
853,911,913,15916,3492,-6344,2
852,915,917,15132,2392,-5244,2
887,876,876,14632,2204,-3548,3
862,834,840,16640,3892,-7352,3
865,839,847,15164,2756,-6324,3
866,841,849,15688,2960,-6832,3
866,840,849,16500,3008,-6128,3
868,842,849,16416,2720,-6536,3
867,844,851,15660,3084,-6308,3
868,845,851,16152,2644,-5992,3
868,844,853,16312,2620,-5532,3
869,847,858,16228,3612,-5692,3
873,852,860,15016,-5128,-7940,3
873,850,861,12064,-6820,-4256,3
877,857,860,14188,792,-10276,3
878,861,859,15212,2256,-6768,3
880,862,860,16220,2244,-3632,3
890,861,861,15832,7396,-428,3
892,859,862,15448,4796,-6716,3
895,863,861,15348,4664,-9020,3
900,863,861,17308,1972,-5976,3
908,875,870,15388,1336,-5020,3
903,911,863,18184,2424,-2968,4
889,916,880,16104,4016,-6076,4
875,916,866,15600,2764,-5988,4
871,916,855,16188,3268,-6128,4
871,917,854,15724,4296,-5336,4
874,916,855,15660,6336,-3880,4
876,916,858,18076,-2164,-5752,4
877,916,858,16812,28,-4972,4
877,916,860,17496,1532,-5308,4
879,916,864,14864,3252,-7256,4
884,916,869,15024,5008,-7780,4
885,916,871,17376,3336,-4272,4
890,916,869,16120,1180,-5164,4
897,823,876,15672,1196,-4360,5
877,796,842,16232,2704,-5796,5
877,799,847,16476,2400,-6480,5
866,813,851,15900,3024,-5716,5
838,815,853,15696,2472,-7216,5
830,818,854,15808,2464,-6132,5
834,819,855,15136,1996,-6292,5
841,820,854,16444,-1124,-5980,5
851,821,855,14628,2176,-4036,5
830,821,855,15852,1684,-6468,5
830,821,854,16692,884,-5004,5
823,822,854,10184,9568,-6928,5
825,821,852,10964,4052,-12740,5
835,820,849,16212,4820,-4852,5
834,819,849,16664,3736,-2560,5
835,820,849,16648,3724,-3464,5
868,834,858,16804,1788,-4004,5
903,878,898,19224,536,-4552,5
904,861,914,17380,788,-3680,6
856,844,916,17168,1452,-364,6
880,838,916,16600,492,-1960,6
878,821,917,18152,752,-2852,6
883,804,917,17988,120,-2228,6
881,806,916,17140,364,-3524,6
852,825,916,18284,-312,-4668,6
820,834,915,16260,-704,-1928,6
828,835,915,15928,744,-1844,6
830,835,915,17784,-892,-3468,6
835,836,915,18220,-976,-1624,6
838,836,915,18296,-188,-3272,6
840,837,915,16916,472,-1508,6
843,838,915,17452,640,-3220,6
844,838,915,18356,-468,-4060,6
883,886,909,17224,236,-2532,6
908,910,856,16392,372,-2584,6
865,882,848,16988,-604,-5420,6
902,897,854,16364,-1472,-5632,6
918,913,863,16132,-1288,-5584,7
919,914,862,17400,-1644,-5744,7
919,914,862,17068,-1416,-5320,7
919,914,863,16788,-1164,-5216,7
919,915,864,16520,-1232,-5380,7
920,915,865,16584,-1252,-4956,7
919,915,866,16864,-724,-4900,7
919,915,866,17168,-1104,-5732,7
919,915,866,16976,-864,-5908,7
919,914,864,16480,-724,-4880,7
905,916,887,14928,-980,-6132,8
842,915,907,15400,-2656,-6424,8
860,918,916,9336,-16048,-8560,8
870,918,917,8144,-11892,-6244,8
869,918,917,7412,-12148,-6036,8
865,918,917,6640,-13320,-7152,8
866,918,917,8024,-13824,-6996,8
867,918,917,6944,-13204,-6632,8
867,918,917,7900,-13704,-6812,8
868,918,917,7256,-12904,-5780,8
868,918,917,7664,-13068,-6056,8
869,918,917,7692,-13288,-6344,8
869,918,917,8132,-13600,-6392,8
869,918,917,8508,-13692,-5788,8
870,918,917,8700,-13148,-6384,8
