THUMB,INDEX,MIDDLE,G1,G2,G3
25,17684,2568,3520,22
910,803,827,17464,2244,4092
912,810,832,17600,3188,4316
912,808,830,17568,2832,4652
912,809,830,17532,2916,4140
909,811,832,17508,-8,3952
909,812,833,18292,-740,3852
907,812,834,20708,-2924,3228
906,812,834,17124,-3688,-1692
908,813,835,17440,3072,-4616
912,815,836,16484,4332,908
910,817,836,17196,2428,4128
905,816,836,18456,328,2036
904,815,835,17740,-36,772
911,817,835,17948,4688,5084
910,816,835,16572,3344,3172
904,819,836,17968,2816,2388
894,824,836,18164,3164,1688
900,823,837,18236,2692,1740
912,817,838,16752,2040,1260
908,823,839,18108,3856,2160
899,827,841,16812,3776,2292
897,825,839,17736,3348,5360
864,826,836,18240,3076,4316
898,823,837,17896,2840,3904
910,861,869,15584,1836,4140
839,910,914,18320,1952,2740
848,911,916,17796,1276,2052
852,912,916,19464,4572,56
854,913,916,17232,-1084,5056
853,912,916,17776,4532,2668
853,911,916,17480,-1080,3636
850,911,917,12940,-7200,2032
853,911,916,17808,-5272,-3876
854,911,917,9192,-6396,-12724
862,911,916,20168,2056,-2912
863,911,916,16628,-1788,1480
870,911,916,19308,5136,4520
874,911,916,17032,4820,2176
872,911,917,17472,-296,2728
878,912,916,18624,2460,5012
883,911,916,18448,2080,-7296
879,911,917,16608,2784,-2388
851,911,917,17180,3156,-3116
870,911,917,17408,1948,2580
866,911,917,18556,848,1388
865,911,917,18392,144,1408
859,911,916,18212,-260,2228
881,911,916,19260,1660,212
869,911,916,17296,2444,1024
865,911,916,18180,1436,1112
869,911,916,18716,1048,1308
868,911,916,17436,876,2112
873,912,917,18756,1612,448
874,911,917,19868,3344,884
876,912,917,19004,2892,1928
863,911,916,17728,1792,1728
863,911,917,17500,-4532,-952
862,911,917,17620,-1072,2920
864,911,917,17524,-640,1452
866,911,916,18128,2728,2288
874,911,916,18456,1528,680
891,860,878,17376,2460,-284
865,844,857,17988,1268,-572
868,848,859,17488,1604,-608
875,839,857,18404,2220,528
869,842,858,17524,1500,460
870,843,859,17564,1856,708
875,842,859,17844,1428,420
873,843,860,19384,-540,-540
865,844,861,18552,928,536
867,844,861,18120,1088,-52
880,842,862,18020,936,400
877,845,862,18236,740,624
870,846,862,18620,1136,-280
868,846,863,18336,1444,296
869,847,863,18416,1216,52
876,847,864,17932,804,896
888,847,864,18328,936,404
885,848,864,18092,444,264
883,849,864,18364,1212,140
873,851,864,17856,1180,392
874,851,863,17700,1100,472
871,851,863,17780,1176,564
870,852,864,17728,1088,752
871,853,863,17620,680,-100
872,853,864,17704,1172,204
871,853,864,17924,544,208
872,853,864,17620,-820,1888
875,855,864,17344,-8860,-1124
888,854,868,12884,5544,-8876
888,852,867,12808,4972,-9312
887,852,867,14224,3308,-10848
884,853,868,17784,3096,600
887,851,867,17256,4032,2976
888,852,867,14356,9548,4888
889,852,868,16596,4344,40
886,852,867,18244,2252,2924
885,852,867,17084,2324,1960
878,851,867,16748,2212,3548
872,851,865,17184,3268,2996
874,850,865,17612,3384,3312
879,851,865,17440,2712,2648
884,856,868,18044,3728,3124
891,855,868,17716,4180,3092
890,854,868,17056,3780,2240
891,856,870,18068,3668,3080
888,867,879,18624,3392,3548
890,867,879,18464,2472,3092
872,867,878,17988,3500,2876
876,867,878,17968,3080,2696
877,867,877,17992,3328,2600
881,867,878,19384,2896,3092
884,866,878,17740,2980,3024
905,869,874,18392,2280,3620
903,903,864,17112,2636,2360
903,913,872,17996,3616,-2704
899,912,868,17284,3196,-2248
896,911,867,17364,3392,-2544
899,913,873,17284,4552,-2208
875,913,863,16552,3132,-1208
864,912,847,17328,4240,-928
869,912,853,18140,3512,-1084
871,912,856,17856,3044,-900
871,911,856,17688,3660,-1096
909,911,876,16912,3872,-1612
910,912,874,16776,3808,-1128
909,912,872,15644,3824,-2424
909,912,874,16308,4360,-1936
909,912,873,17044,3716,-1568
908,913,873,17776,3440,-1328
908,913,873,17460,3256,-1924
908,913,873,16972,3232,-1376
908,913,872,15604,4532,-2716
909,913,871,13340,6552,-7636
908,912,871,14452,6764,-4760
909,912,874,16348,3328,128
907,912,874,16476,1372,-1872
906,912,874,18368,1248,-960
906,911,874,18596,-620,1108
904,912,875,17644,560,1904
905,912,875,18204,-732,1168
905,912,876,18240,364,168
905,912,876,17612,780,1076
905,912,876,18028,88,1156
906,912,876,18352,684,648
906,912,876,18280,392,976
906,912,876,18260,164,628
908,912,874,18580,2924,352
909,913,874,16640,1508,-3628
909,912,874,17980,1388,-604
909,913,875,17564,1072,-1516
908,912,875,17764,1560,-156
908,912,875,18076,716,-460
908,912,875,18208,2000,-1220
908,913,874,17352,1556,276
908,912,875,18072,2148,412
908,912,875,18992,2448,-1316
909,912,875,17052,1260,408
909,912,875,17520,4180,-88
909,912,875,18052,2004,-668
909,912,875,17892,1908,-136
908,912,875,17492,1632,-80
908,912,875,18584,2828,2148
907,911,876,18000,504,1956
907,912,876,18192,580,1832
908,861,884,18784,1868,2096
850,776,848,16964,1224,932
857,780,846,18052,1164,-264
855,781,845,18064,1048,-316
851,789,848,17380,1288,-388
853,790,848,17800,720,-20
839,776,833,19200,-8,428
840,778,834,18400,1432,256
842,779,835,17844,1448,816
857,783,838,17772,1284,352
860,786,840,17400,1452,340
860,788,840,17888,1268,660
861,789,840,18180,1544,68
861,791,841,18340,1516,276
862,793,842,18292,1112,536
863,794,843,17728,1604,356
863,794,843,17544,1372,260
864,795,843,18368,1504,480
864,795,843,18192,1732,300
863,794,843,18040,1556,108
